,miRNA,ceRNA,species,database,type
4102,hsa-let-7a-2-3p,MICAL3,Homo sapiens,miRWalk,miRNA-mRNA
4103,hsa-let-7a-2-3p,MICOS10,Homo sapiens,miRWalk,miRNA-mRNA
4104,hsa-let-7a-2-3p,MICOS10-NBL1,Homo sapiens,miRWalk,miRNA-mRNA
4105,hsa-let-7a-2-3p,MID1IP1,Homo sapiens,miRWalk,miRNA-mRNA
4106,hsa-let-7a-2-3p,MID2,Homo sapiens,miRWalk,miRNA-mRNA
4107,hsa-let-7a-2-3p,MIEF1,Homo sapiens,miRWalk,miRNA-mRNA
4108,hsa-let-7a-2-3p,MIOS,Homo sapiens,miRWalk,miRNA-mRNA
4109,hsa-let-7a-2-3p,MIPEP,Homo sapiens,miRWalk,miRNA-mRNA
4110,hsa-let-7a-2-3p,MIPOL1,Homo sapiens,miRWalk,miRNA-mRNA
4111,hsa-let-7a-2-3p,MIS12,Homo sapiens,miRWalk,miRNA-mRNA
4112,hsa-let-7a-2-3p,MITF,Homo sapiens,miRWalk,miRNA-mRNA
4113,hsa-let-7a-2-3p,MLF1,Homo sapiens,miRWalk,miRNA-mRNA
4114,hsa-let-7a-2-3p,MLLT10,Homo sapiens,miRWalk,miRNA-mRNA
4115,hsa-let-7a-2-3p,MLLT11,Homo sapiens,miRWalk,miRNA-mRNA
4116,hsa-let-7a-2-3p,MLLT3,Homo sapiens,miRWalk,miRNA-mRNA
4117,hsa-let-7a-2-3p,MME,Homo sapiens,miRWalk,miRNA-mRNA
4118,hsa-let-7a-2-3p,MMP2,Homo sapiens,miRWalk,miRNA-mRNA
4119,hsa-let-7a-2-3p,MMP26,Homo sapiens,miRWalk,miRNA-mRNA
4120,hsa-let-7a-2-3p,MMP8,Homo sapiens,miRWalk,miRNA-mRNA
4121,hsa-let-7a-2-3p,MNT,Homo sapiens,miRWalk,miRNA-mRNA
4122,hsa-let-7a-2-3p,MON1A,Homo sapiens,miRWalk,miRNA-mRNA
4123,hsa-let-7a-2-3p,MON2,Homo sapiens,RNAInter,miRNA-mRNA
4124,hsa-let-7a-2-3p,MORC2,Homo sapiens,miRWalk,miRNA-mRNA
4125,hsa-let-7a-2-3p,MORF4L1,Homo sapiens,miRWalk,miRNA-mRNA
4126,hsa-let-7a-2-3p,MORF4L2,Homo sapiens,miRWalk,miRNA-mRNA
4127,hsa-let-7a-2-3p,MOSMO,Homo sapiens,RNAInter,miRNA-mRNA
4128,hsa-let-7a-2-3p,MOV10,Homo sapiens,miRWalk,miRNA-mRNA
4129,hsa-let-7a-2-3p,MOXD1,Homo sapiens,miRWalk,miRNA-mRNA
4130,hsa-let-7a-2-3p,MPHOSPH8,Homo sapiens,miRWalk,miRNA-mRNA
4131,hsa-let-7a-2-3p,MPP2,Homo sapiens,miRWalk,miRNA-mRNA
4132,hsa-let-7a-2-3p,MPP4,Homo sapiens,miRWalk,miRNA-mRNA
4133,hsa-let-7a-2-3p,MPP7,Homo sapiens,miRWalk,miRNA-mRNA
4134,hsa-let-7a-2-3p,MPPE1,Homo sapiens,miRWalk,miRNA-mRNA
4135,hsa-let-7a-2-3p,MRAP,Homo sapiens,miRWalk,miRNA-mRNA
4136,hsa-let-7a-2-3p,MRAS,Homo sapiens,miRWalk,miRNA-mRNA
4137,hsa-let-7a-2-3p,MRC1,Homo sapiens,miRWalk,miRNA-mRNA
4138,hsa-let-7a-2-3p,MRFAP1,Homo sapiens,miRDB_6.0,miRNA-mRNA
4139,hsa-let-7a-2-3p,MRGPRE,Homo sapiens,miRWalk,miRNA-mRNA
4140,hsa-let-7a-2-3p,MRGPRF,Homo sapiens,miRWalk,miRNA-mRNA
4141,hsa-let-7a-2-3p,MRPL24,Homo sapiens,miRWalk,miRNA-mRNA
4142,hsa-let-7a-2-3p,MRPL4,Homo sapiens,miRWalk,miRNA-mRNA
4143,hsa-let-7a-2-3p,MRPL48,Homo sapiens,miRWalk,miRNA-mRNA
4144,hsa-let-7a-2-3p,MRPL55,Homo sapiens,miRWalk,miRNA-mRNA
4145,hsa-let-7a-2-3p,MRPS21,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4146,hsa-let-7a-2-3p,MS4A6A,Homo sapiens,miRWalk,miRNA-mRNA
4147,hsa-let-7a-2-3p,MSANTD2,Homo sapiens,miRWalk,miRNA-mRNA
4148,hsa-let-7a-2-3p,MSANTD4,Homo sapiens,miRWalk,miRNA-mRNA
4149,hsa-let-7a-2-3p,MSH2,Homo sapiens,miRWalk,miRNA-mRNA
4150,hsa-let-7a-2-3p,MSH3,Homo sapiens,miRDB_6.0,miRNA-mRNA
4151,hsa-let-7a-2-3p,MSH5,Homo sapiens,miRWalk,miRNA-mRNA
4152,hsa-let-7a-2-3p,MSH6,Homo sapiens,miRWalk,miRNA-mRNA
4153,hsa-let-7a-2-3p,MSI2,Homo sapiens,miRWalk,miRNA-mRNA
4154,hsa-let-7a-2-3p,MSL3,Homo sapiens,miRWalk,miRNA-mRNA
4155,hsa-let-7a-2-3p,MSMP,Homo sapiens,miRWalk,miRNA-mRNA
4156,hsa-let-7a-2-3p,MSS51,Homo sapiens,miRWalk,miRNA-mRNA
4157,hsa-let-7a-2-3p,MT2A,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4158,hsa-let-7a-2-3p,MTDH,Homo sapiens,RNAInter,miRNA-mRNA
4159,hsa-let-7a-2-3p,MTERF2,Homo sapiens,miRWalk,miRNA-mRNA
4160,hsa-let-7a-2-3p,MTF2,Homo sapiens,miRWalk,miRNA-mRNA
4161,hsa-let-7a-2-3p,MTHFD2L,Homo sapiens,miRWalk,miRNA-mRNA
4162,hsa-let-7a-2-3p,MTM1,Homo sapiens,miRWalk,miRNA-mRNA
4163,hsa-let-7a-2-3p,MTMR1,Homo sapiens,miRWalk,miRNA-mRNA
4164,hsa-let-7a-2-3p,MTMR9,Homo sapiens,RNAInter,miRNA-mRNA
4165,hsa-let-7a-2-3p,MTPN,Homo sapiens,RNAInter,miRNA-mRNA
4166,hsa-let-7a-2-3p,MTRF1,Homo sapiens,miRWalk,miRNA-mRNA
4167,hsa-let-7a-2-3p,MTRFR,Homo sapiens,miRWalk,miRNA-mRNA
4168,hsa-let-7a-2-3p,MTTP,Homo sapiens,miRWalk,miRNA-mRNA
4169,hsa-let-7a-2-3p,MTUS1,Homo sapiens,miRWalk,miRNA-mRNA
4170,hsa-let-7a-2-3p,MUS81,Homo sapiens,miRWalk,miRNA-mRNA
4171,hsa-let-7a-2-3p,MXRA5,Homo sapiens,miRDB_6.0,miRNA-mRNA
4172,hsa-let-7a-2-3p,MYBL1,Homo sapiens,miRWalk,miRNA-mRNA
4173,hsa-let-7a-2-3p,MYC,Homo sapiens,RNAInter,miRNA-mRNA
4174,hsa-let-7a-2-3p,MYCBP2,Homo sapiens,miRDB_6.0,miRNA-mRNA
4175,hsa-let-7a-2-3p,MYL12A,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
4176,hsa-let-7a-2-3p,MYO10,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4177,hsa-let-7a-2-3p,MYO19,Homo sapiens,miRWalk,miRNA-mRNA
4178,hsa-let-7a-2-3p,MYO1E,Homo sapiens,miRDB_6.0,miRNA-mRNA
4179,hsa-let-7a-2-3p,MYO1F,Homo sapiens,RNAInter,miRNA-mRNA
4180,hsa-let-7a-2-3p,MYO7B,Homo sapiens,miRWalk,miRNA-mRNA
4181,hsa-let-7a-2-3p,MYO9B,Homo sapiens,RNAInter,miRNA-mRNA
4182,hsa-let-7a-2-3p,MYOCOS,Homo sapiens,miRWalk,miRNA-mRNA
4183,hsa-let-7a-2-3p,MYOD1,Homo sapiens,miRWalk,miRNA-mRNA
4184,hsa-let-7a-2-3p,MYOG,Homo sapiens,miRWalk,miRNA-mRNA
4185,hsa-let-7a-2-3p,MYT1L,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4186,hsa-let-7a-2-3p,NABP1,Homo sapiens,miRWalk,miRNA-mRNA
4187,hsa-let-7a-2-3p,NAE1,Homo sapiens,miRWalk,miRNA-mRNA
4188,hsa-let-7a-2-3p,NAF1,Homo sapiens,miRWalk,miRNA-mRNA
4189,hsa-let-7a-2-3p,NAIP,Homo sapiens,miRWalk,miRNA-mRNA
4190,hsa-let-7a-2-3p,NALF1,Homo sapiens,miRWalk,miRNA-mRNA
4191,hsa-let-7a-2-3p,NAMPT,Homo sapiens,miRDB_6.0,miRNA-mRNA
4192,hsa-let-7a-2-3p,NAP1L1,Homo sapiens,RNAInter,miRNA-mRNA
4193,hsa-let-7a-2-3p,NAPB,Homo sapiens,miRWalk,miRNA-mRNA
4194,hsa-let-7a-2-3p,NARS2,Homo sapiens,miRWalk,miRNA-mRNA
4195,hsa-let-7a-2-3p,NAT8L,Homo sapiens,miRDB_6.0,miRNA-mRNA
4196,hsa-let-7a-2-3p,NAV2,Homo sapiens,miRWalk,miRNA-mRNA
4197,hsa-let-7a-2-3p,NBPF1,Homo sapiens,miRWalk,miRNA-mRNA
4198,hsa-let-7a-2-3p,NCAPD2,Homo sapiens,RNAInter,miRNA-mRNA
4199,hsa-let-7a-2-3p,NCBP2,Homo sapiens,miRWalk,miRNA-mRNA
4200,hsa-let-7a-2-3p,NCKAP5,Homo sapiens,miRWalk,miRNA-mRNA
4201,hsa-let-7a-2-3p,NCL,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4202,hsa-let-7a-2-3p,NCOA3,Homo sapiens,RNAInter,miRNA-mRNA
4203,hsa-let-7a-2-3p,NCOA6,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4204,hsa-let-7a-2-3p,NDC1,Homo sapiens,RNAInter,miRNA-mRNA
4205,hsa-let-7a-2-3p,NDP,Homo sapiens,miRWalk,miRNA-mRNA
4206,hsa-let-7a-2-3p,NDRG2,Homo sapiens,miRWalk,miRNA-mRNA
4207,hsa-let-7a-2-3p,NDRG4,Homo sapiens,miRWalk,miRNA-mRNA
4208,hsa-let-7a-2-3p,NDST2,Homo sapiens,miRWalk,miRNA-mRNA
4209,hsa-let-7a-2-3p,NDUFA5,Homo sapiens,miRWalk,miRNA-mRNA
4210,hsa-let-7a-2-3p,NDUFAF1,Homo sapiens,miRWalk,miRNA-mRNA
4211,hsa-let-7a-2-3p,NDUFAF6,Homo sapiens,miRWalk,miRNA-mRNA
4212,hsa-let-7a-2-3p,NDUFC1,Homo sapiens,miRWalk,miRNA-mRNA
4213,hsa-let-7a-2-3p,NDUFS1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4214,hsa-let-7a-2-3p,NEB,Homo sapiens,miRWalk,miRNA-mRNA
4215,hsa-let-7a-2-3p,NEBL,Homo sapiens,miRWalk,miRNA-mRNA
4216,hsa-let-7a-2-3p,NECAB1,Homo sapiens,miRDB_6.0,miRNA-mRNA
4217,hsa-let-7a-2-3p,NECTIN2,Homo sapiens,miRWalk,miRNA-mRNA
4218,hsa-let-7a-2-3p,NECTIN3,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4219,hsa-let-7a-2-3p,NEIL3,Homo sapiens,miRWalk,miRNA-mRNA
4220,hsa-let-7a-2-3p,NEK10,Homo sapiens,miRWalk,miRNA-mRNA
4221,hsa-let-7a-2-3p,NEK6,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4222,hsa-let-7a-2-3p,NELFE,Homo sapiens,miRWalk,miRNA-mRNA
4223,hsa-let-7a-2-3p,NELL2,Homo sapiens,miRWalk,miRNA-mRNA
4224,hsa-let-7a-2-3p,NET1,Homo sapiens,miRDB_6.0,miRNA-mRNA
4225,hsa-let-7a-2-3p,NEURL3,Homo sapiens,miRWalk,miRNA-mRNA
4226,hsa-let-7a-2-3p,NEUROD4,Homo sapiens,miRWalk,miRNA-mRNA
4227,hsa-let-7a-2-3p,NF2,Homo sapiens,miRWalk,miRNA-mRNA
4228,hsa-let-7a-2-3p,NFASC,Homo sapiens,miRWalk,miRNA-mRNA
4229,hsa-let-7a-2-3p,NFAT5,Homo sapiens,RNAInter,miRNA-mRNA
4230,hsa-let-7a-2-3p,NFIA,Homo sapiens,miRDB_6.0,miRNA-mRNA
4231,hsa-let-7a-2-3p,NFIX,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
4232,hsa-let-7a-2-3p,NFKBIA,Homo sapiens,miRDB_6.0,miRNA-mRNA
4233,hsa-let-7a-2-3p,NFRKB,Homo sapiens,miRWalk,miRNA-mRNA
4234,hsa-let-7a-2-3p,NFX1,Homo sapiens,miRWalk,miRNA-mRNA
4235,hsa-let-7a-2-3p,NFXL1,Homo sapiens,miRWalk,miRNA-mRNA
4236,hsa-let-7a-2-3p,NFYC,Homo sapiens,miRWalk,miRNA-mRNA
4237,hsa-let-7a-2-3p,NHLRC3,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
4238,hsa-let-7a-2-3p,NIBAN3,Homo sapiens,miRWalk,miRNA-mRNA
4239,hsa-let-7a-2-3p,NID1,Homo sapiens,miRDB_6.0,miRNA-mRNA
4240,hsa-let-7a-2-3p,NIF3L1,Homo sapiens,miRWalk,miRNA-mRNA
4241,hsa-let-7a-2-3p,NIM1K,Homo sapiens,miRWalk,miRNA-mRNA
4242,hsa-let-7a-2-3p,NIN,Homo sapiens,miRWalk,miRNA-mRNA
4243,hsa-let-7a-2-3p,NIPAL2,Homo sapiens,RNAInter,miRNA-mRNA
4244,hsa-let-7a-2-3p,NIPAL3,Homo sapiens,miRWalk,miRNA-mRNA
4245,hsa-let-7a-2-3p,NKAPD1,Homo sapiens,RNAInter,miRNA-mRNA
4246,hsa-let-7a-2-3p,NKIRAS2,Homo sapiens,miRWalk,miRNA-mRNA
4247,hsa-let-7a-2-3p,NKX2-1,Homo sapiens,miRDB_6.0,miRNA-mRNA
4248,hsa-let-7a-2-3p,NKX6-1,Homo sapiens,miRWalk,miRNA-mRNA
4249,hsa-let-7a-2-3p,NLGN1,Homo sapiens,miRWalk,miRNA-mRNA
4250,hsa-let-7a-2-3p,NLGN4X,Homo sapiens,miRWalk,miRNA-mRNA
4251,hsa-let-7a-2-3p,NLGN4Y,Homo sapiens,miRWalk,miRNA-mRNA
4252,hsa-let-7a-2-3p,NLK,Homo sapiens,miRDB_6.0,miRNA-mRNA
4253,hsa-let-7a-2-3p,NLRC5,Homo sapiens,RNAInter,miRNA-mRNA
4254,hsa-let-7a-2-3p,NLRP11,Homo sapiens,miRWalk,miRNA-mRNA
4255,hsa-let-7a-2-3p,NLRX1,Homo sapiens,miRWalk,miRNA-mRNA
4256,hsa-let-7a-2-3p,NMBR,Homo sapiens,miRWalk,miRNA-mRNA
4257,hsa-let-7a-2-3p,NME6,Homo sapiens,RNAInter,miRNA-mRNA
4258,hsa-let-7a-2-3p,NME9,Homo sapiens,miRWalk,miRNA-mRNA
4259,hsa-let-7a-2-3p,NMI,Homo sapiens,miRWalk,miRNA-mRNA
4260,hsa-let-7a-2-3p,NMNAT1,Homo sapiens,miRWalk,miRNA-mRNA
4261,hsa-let-7a-2-3p,NMRK1,Homo sapiens,miRWalk,miRNA-mRNA
4262,hsa-let-7a-2-3p,NMRK2,Homo sapiens,miRWalk,miRNA-mRNA
4263,hsa-let-7a-2-3p,NMUR2,Homo sapiens,miRWalk,miRNA-mRNA
4264,hsa-let-7a-2-3p,NNT,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
4265,hsa-let-7a-2-3p,NOD2,Homo sapiens,miRWalk,miRNA-mRNA
4266,hsa-let-7a-2-3p,NOL10,Homo sapiens,miRWalk,miRNA-mRNA
4267,hsa-let-7a-2-3p,NOL6,Homo sapiens,miRWalk,miRNA-mRNA
4268,hsa-let-7a-2-3p,NOL8,Homo sapiens,miRWalk,miRNA-mRNA
4269,hsa-let-7a-2-3p,NONO,Homo sapiens,miRWalk,miRNA-mRNA
4270,hsa-let-7a-2-3p,NOS2,Homo sapiens,miRWalk,miRNA-mRNA
4271,hsa-let-7a-2-3p,NOXO1,Homo sapiens,miRWalk,miRNA-mRNA
4272,hsa-let-7a-2-3p,NPAP1,Homo sapiens,miRWalk,miRNA-mRNA
4273,hsa-let-7a-2-3p,NPFF,Homo sapiens,miRWalk,miRNA-mRNA
4274,hsa-let-7a-2-3p,NPIPB13,Homo sapiens,miRWalk,miRNA-mRNA
4275,hsa-let-7a-2-3p,NPIPB15,Homo sapiens,miRWalk,miRNA-mRNA
4276,hsa-let-7a-2-3p,NPIPB5,Homo sapiens,miRWalk,miRNA-mRNA
4277,hsa-let-7a-2-3p,NPIPB6,Homo sapiens,miRWalk,miRNA-mRNA
4278,hsa-let-7a-2-3p,NPIPB7,Homo sapiens,miRWalk,miRNA-mRNA
4279,hsa-let-7a-2-3p,NPM1,Homo sapiens,miRWalk,miRNA-mRNA
4280,hsa-let-7a-2-3p,NPNT,Homo sapiens,miRWalk,miRNA-mRNA
4281,hsa-let-7a-2-3p,NPRL2,Homo sapiens,miRWalk,miRNA-mRNA
4282,hsa-let-7a-2-3p,NPY5R,Homo sapiens,miRWalk,miRNA-mRNA
4283,hsa-let-7a-2-3p,NR1D2,Homo sapiens,miRWalk,miRNA-mRNA
4284,hsa-let-7a-2-3p,NR1H3,Homo sapiens,miRWalk,miRNA-mRNA
4285,hsa-let-7a-2-3p,NR1I3,Homo sapiens,miRWalk,miRNA-mRNA
4286,hsa-let-7a-2-3p,NR2C2AP,Homo sapiens,miRWalk,miRNA-mRNA
4287,hsa-let-7a-2-3p,NR2F1,Homo sapiens,miRDB_6.0;miRWalk,miRNA-mRNA
4288,hsa-let-7a-2-3p,NR2F2,Homo sapiens,miRWalk,miRNA-mRNA
4289,hsa-let-7a-2-3p,NR3C1,Homo sapiens,miRWalk,miRNA-mRNA
4290,hsa-let-7a-2-3p,NR4A1,Homo sapiens,RNAInter;miRWalk,miRNA-mRNA
4291,hsa-let-7a-2-3p,NRAS,Homo sapiens,RNAInter,miRNA-mRNA
4292,hsa-let-7a-2-3p,NREP,Homo sapiens,miRWalk,miRNA-mRNA
4293,hsa-let-7a-2-3p,NRG2,Homo sapiens,miRWalk,miRNA-mRNA
4294,hsa-let-7a-2-3p,NRIP3,Homo sapiens,miRWalk,miRNA-mRNA
4295,hsa-let-7a-2-3p,NRP1,Homo sapiens,miRWalk,miRNA-mRNA
4296,hsa-let-7a-2-3p,NRSN1,Homo sapiens,miRWalk,miRNA-mRNA
4297,hsa-let-7a-2-3p,NRXN3,Homo sapiens,miRWalk,miRNA-mRNA
4298,hsa-let-7a-2-3p,NSD3,Homo sapiens,miRWalk,miRNA-mRNA
4299,hsa-let-7a-2-3p,NSMCE2,Homo sapiens,miRWalk,miRNA-mRNA
4300,hsa-let-7a-2-3p,NT5DC4,Homo sapiens,miRWalk,miRNA-mRNA
4301,hsa-let-7a-2-3p,NTF4,Homo sapiens,miRWalk,miRNA-mRNA
4302,hsa-let-7a-2-3p,NTHL1,Homo sapiens,miRWalk,miRNA-mRNA
4303,hsa-let-7a-2-3p,NUCKS1,Homo sapiens,miRWalk,miRNA-mRNA
4304,hsa-let-7a-2-3p,NUDT13,Homo sapiens,miRWalk,miRNA-mRNA
4305,hsa-let-7a-2-3p,NUDT6,Homo sapiens,miRWalk,miRNA-mRNA
4306,hsa-let-7a-2-3p,NUF2,Homo sapiens,miRWalk,miRNA-mRNA
4307,hsa-let-7a-2-3p,NUP155,Homo sapiens,RNAInter,miRNA-mRNA
4308,hsa-let-7a-2-3p,NXPE4,Homo sapiens,miRWalk,miRNA-mRNA
4309,hsa-let-7a-2-3p,NXT2,Homo sapiens,miRWalk,miRNA-mRNA
4310,hsa-let-7a-2-3p,NYAP2,Homo sapiens,miRWalk,miRNA-mRNA
4311,hsa-let-7a-2-3p,OAS1,Homo sapiens,miRWalk,miRNA-mRNA
4312,hsa-let-7a-2-3p,OCIAD1,Homo sapiens,miRWalk,miRNA-mRNA
4313,hsa-let-7a-2-3p,ODF2L,Homo sapiens,miRWalk,miRNA-mRNA
4314,hsa-let-7a-2-3p,OFD1,Homo sapiens,miRWalk,miRNA-mRNA
4315,hsa-let-7a-2-3p,OGA,Homo sapiens,miRWalk,miRNA-mRNA
4316,hsa-let-7a-2-3p,OLIG3,Homo sapiens,miRWalk,miRNA-mRNA
4317,hsa-let-7a-2-3p,OLR1,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4318,hsa-let-7a-2-3p,ONECUT1,Homo sapiens,miRWalk,miRNA-mRNA
4319,hsa-let-7a-2-3p,OPALIN,Homo sapiens,miRWalk,miRNA-mRNA
4320,hsa-let-7a-2-3p,OPCML,Homo sapiens,miRWalk,miRNA-mRNA
4321,hsa-let-7a-2-3p,OPN4,Homo sapiens,miRWalk,miRNA-mRNA
4322,hsa-let-7a-2-3p,OPRL1,Homo sapiens,miRWalk,miRNA-mRNA
4323,hsa-let-7a-2-3p,OPRM1,Homo sapiens,miRWalk,miRNA-mRNA
4324,hsa-let-7a-2-3p,OR10Z1,Homo sapiens,miRWalk,miRNA-mRNA
4325,hsa-let-7a-2-3p,OR13A1,Homo sapiens,miRWalk,miRNA-mRNA
4326,hsa-let-7a-2-3p,OR14A2,Homo sapiens,miRWalk,miRNA-mRNA
4327,hsa-let-7a-2-3p,OR14L1P,Homo sapiens,miRWalk,miRNA-mRNA
4328,hsa-let-7a-2-3p,OR1M1,Homo sapiens,miRWalk,miRNA-mRNA
4329,hsa-let-7a-2-3p,OR2B11,Homo sapiens,miRWalk,miRNA-mRNA
4330,hsa-let-7a-2-3p,OR2H1,Homo sapiens,miRWalk,miRNA-mRNA
4331,hsa-let-7a-2-3p,OR2H2,Homo sapiens,miRWalk,miRNA-mRNA
4332,hsa-let-7a-2-3p,OR4C11,Homo sapiens,miRWalk,miRNA-mRNA
4333,hsa-let-7a-2-3p,OR51I2,Homo sapiens,miRWalk,miRNA-mRNA
4334,hsa-let-7a-2-3p,OR52N5,Homo sapiens,miRWalk,miRNA-mRNA
4335,hsa-let-7a-2-3p,OR5A2,Homo sapiens,miRWalk,miRNA-mRNA
4336,hsa-let-7a-2-3p,OR6B1,Homo sapiens,miRWalk,miRNA-mRNA
4337,hsa-let-7a-2-3p,OR7D2,Homo sapiens,miRWalk,miRNA-mRNA
4338,hsa-let-7a-2-3p,OSBP2,Homo sapiens,miRWalk,miRNA-mRNA
4339,hsa-let-7a-2-3p,OSBPL3,Homo sapiens,RNAInter,miRNA-mRNA
4340,hsa-let-7a-2-3p,OSBPL6,Homo sapiens,miRDB_6.0,miRNA-mRNA
4341,hsa-let-7a-2-3p,OSBPL8,Homo sapiens,miRWalk,miRNA-mRNA
4342,hsa-let-7a-2-3p,OSGEPL1,Homo sapiens,RNAInter,miRNA-mRNA
4343,hsa-let-7a-2-3p,OSR2,Homo sapiens,miRDB_6.0,miRNA-mRNA
4344,hsa-let-7a-2-3p,OSTC,Homo sapiens,miRWalk,miRNA-mRNA
4345,hsa-let-7a-2-3p,OSTF1,Homo sapiens,miRWalk,miRNA-mRNA
4346,hsa-let-7a-2-3p,OVOL2,Homo sapiens,miRWalk,miRNA-mRNA
4347,hsa-let-7a-2-3p,OXSR1,Homo sapiens,miRWalk,miRNA-mRNA
4348,hsa-let-7a-2-3p,P2RY2,Homo sapiens,miRWalk,miRNA-mRNA
4349,hsa-let-7a-2-3p,P4HA1,Homo sapiens,miRWalk,miRNA-mRNA
4350,hsa-let-7a-2-3p,P4HA2,Homo sapiens,miRWalk,miRNA-mRNA
4351,hsa-let-7a-2-3p,PABIR2,Homo sapiens,miRWalk,miRNA-mRNA
4352,hsa-let-7a-2-3p,PABPC1L2B,Homo sapiens,miRWalk,miRNA-mRNA
4353,hsa-let-7a-2-3p,PABPC4,Homo sapiens,miRWalk,miRNA-mRNA
4354,hsa-let-7a-2-3p,PABPC4L,Homo sapiens,miRWalk,miRNA-mRNA
4355,hsa-let-7a-2-3p,PACRG,Homo sapiens,miRWalk,miRNA-mRNA
4356,hsa-let-7a-2-3p,PADI1,Homo sapiens,miRWalk,miRNA-mRNA
4357,hsa-let-7a-2-3p,PAGE3,Homo sapiens,miRWalk,miRNA-mRNA
4358,hsa-let-7a-2-3p,PAIP2,Homo sapiens,miRWalk,miRNA-mRNA
4359,hsa-let-7a-2-3p,PAK1,Homo sapiens,miRWalk,miRNA-mRNA
4360,hsa-let-7a-2-3p,PAK5,Homo sapiens,miRWalk,miRNA-mRNA
4361,hsa-let-7a-2-3p,PAK6,Homo sapiens,miRWalk,miRNA-mRNA
4362,hsa-let-7a-2-3p,PALS1,Homo sapiens,miRWalk,miRNA-mRNA
4363,hsa-let-7a-2-3p,PAMR1,Homo sapiens,miRWalk,miRNA-mRNA
4364,hsa-let-7a-2-3p,PAN2,Homo sapiens,miRWalk,miRNA-mRNA
4365,hsa-let-7a-2-3p,PAPLN,Homo sapiens,miRWalk,miRNA-mRNA
4366,hsa-let-7a-2-3p,PAPPA,Homo sapiens,miRDB_6.0,miRNA-mRNA
4367,hsa-let-7a-2-3p,PAPSS2,Homo sapiens,miRDB_6.0,miRNA-mRNA
4368,hsa-let-7a-2-3p,PAQR3,Homo sapiens,RNAInter,miRNA-mRNA
4369,hsa-let-7a-2-3p,PAQR6,Homo sapiens,miRWalk,miRNA-mRNA
4370,hsa-let-7a-2-3p,PAQR9,Homo sapiens,miRWalk,miRNA-mRNA
4371,hsa-let-7a-2-3p,PARD3,Homo sapiens,RNAInter,miRNA-mRNA
4372,hsa-let-7a-2-3p,PARD6B,Homo sapiens,RNAInter,miRNA-mRNA
4373,hsa-let-7a-2-3p,PARP14,Homo sapiens,RNAInter,miRNA-mRNA
4374,hsa-let-7a-2-3p,PARP8,Homo sapiens,miRWalk,miRNA-mRNA
4375,hsa-let-7a-2-3p,PATZ1,Homo sapiens,miRWalk,miRNA-mRNA
4376,hsa-let-7a-2-3p,PAX4,Homo sapiens,miRWalk,miRNA-mRNA
4377,hsa-let-7a-2-3p,PAX6,Homo sapiens,miRWalk,miRNA-mRNA
4378,hsa-let-7a-2-3p,PBK,Homo sapiens,miRWalk,miRNA-mRNA
4379,hsa-let-7a-2-3p,PBRM1,Homo sapiens,miRWalk,miRNA-mRNA
4380,hsa-let-7a-2-3p,PBX1,Homo sapiens,miRWalk,miRNA-mRNA
4381,hsa-let-7a-2-3p,PCDH10,Homo sapiens,miRWalk,miRNA-mRNA
4382,hsa-let-7a-2-3p,PCDH19,Homo sapiens,miRWalk,miRNA-mRNA
4383,hsa-let-7a-2-3p,PCDH20,Homo sapiens,miRWalk,miRNA-mRNA
4384,hsa-let-7a-2-3p,PCDH7,Homo sapiens,miRWalk,miRNA-mRNA
4385,hsa-let-7a-2-3p,PCDHB10,Homo sapiens,miRWalk,miRNA-mRNA
4386,hsa-let-7a-2-3p,PCDHB2,Homo sapiens,miRWalk,miRNA-mRNA
4387,hsa-let-7a-2-3p,PCDHB7,Homo sapiens,miRWalk,miRNA-mRNA
4388,hsa-let-7a-2-3p,PCDHB8,Homo sapiens,miRWalk,miRNA-mRNA
4389,hsa-let-7a-2-3p,PCDHGA6,Homo sapiens,miRWalk,miRNA-mRNA
4390,hsa-let-7a-2-3p,PCED1A,Homo sapiens,miRWalk,miRNA-mRNA
4391,hsa-let-7a-2-3p,PCED1B,Homo sapiens,miRWalk,miRNA-mRNA
4392,hsa-let-7a-2-3p,PCGF3,Homo sapiens,RNAInter;miRTarBase_9.0,miRNA-mRNA
4393,hsa-let-7a-2-3p,PCGF5,Homo sapiens,miRDB_6.0,miRNA-mRNA
4394,hsa-let-7a-2-3p,PCSK5,Homo sapiens,miRWalk,miRNA-mRNA
4395,hsa-let-7a-2-3p,PCTP,Homo sapiens,miRWalk,miRNA-mRNA
